id,nom,cognom,email,telefon,adreça,ciutat,codi_postal,pais,data_naixement,sector
1,Rebecca,Moore,walkersamantha@yahoo.com,117.213.6207,"894 Austin Mountain, New Susanhaven, MO 15187",Michaelfort,03460,Singapore,2005-08-11,Salut
2,Rebecca,King,briannajohnson@lamb.biz,(270)151-3001,"Unit 1719 Box 7241, DPO AP 92525",West Ashlee,96757,Sri Lanka,1958-05-19,Educació
3,Alexis,Newman,matthewtorres@lewis-lynn.com,001-586-943-5743x099,"8192 Stafford Inlet Apt. 615, West Cynthia, IA 16860",Lake Michellefort,80360,Poland,1991-11-18,Automoció
4,Donald,Johnson,francisco38@huff-mccall.com,359-442-3747,"164 Hamilton Estate, Sarabury, WY 09070",New Jasonstad,50849,Estonia,1999-03-26,Finance
5,Joseph,Meadows,wmoore@yahoo.com,001-336-213-3336,"3617 Angela Crossing, Lake Cory, MT 12271",Richport,54170,Macao,2003-11-29,Automoció
6,Deborah,Gallagher,peggykeller@johnson.net,(126)519-9055x380,"44392 Maria Tunnel, North Laurenview, IA 69766",New Lindashire,47603,Mongolia,1988-06-21,Tecnologia
7,Jennifer,Cordova,dennisjames@calderon-jones.org,+1-307-301-8158x14051,"0854 Mcclain Shore, Crawfordton, IA 42735",West Chrismouth,75724,Dominican Republic,1962-10-23,Automoció
8,Ryan,Miller,michaelortiz@hotmail.com,001-560-500-2704x543,"75664 Ronald Mountains Apt. 318, Drakeview, TX 40156",Rosemouth,30709,Guadeloupe,1951-04-13,Educació
9,Jon,Bell,michael96@hotmail.com,(643)686-3236x58418,"201 Thomas Springs Apt. 962, South Victoria, MN 25678",Freemanhaven,94318,Slovenia,1954-06-11,Retail
10,Catherine,Bush,david91@hotmail.com,776-500-9612,"87291 Benjamin Expressway Apt. 411, Port Victoriamouth, SC 88529",South Marciaberg,34028,Turkmenistan,1982-05-14,Educació
11,Jenny,Parks,stephaniecisneros@young-jennings.com,117-388-4324x095,"1139 Smith Vista Suite 271, Woodside, WA 76250",North Anthony,27110,American Samoa,1998-03-13,Salut
12,Ryan,Ferguson,michael51@hanson.net,263.663.6885,"776 Nielsen Islands, West Melissachester, CO 12033",Williamshire,99150,Uganda,1957-10-26,Educació
13,Allison,Pratt,williamfoster@gmail.com,001-890-068-2999,"5703 Elizabeth Square Suite 315, Stricklandchester, ID 03203",Hartmanport,33613,South Africa,1975-11-06,Educació
14,Justin,Henderson,qgonzales@yahoo.com,001-632-782-7294x384,"1076 Corey Road Suite 393, West Jeffreystad, IA 35357",West Amber,68883,Vanuatu,1983-01-16,Turisme
15,Christina,Russell,medinaamy@gmail.com,(112)439-1764,"19013 Johnson Lock, New Michael, FL 14380",North Melissachester,30295,Bermuda,1981-02-28,Turisme
16,Crystal,Marshall,rebecca18@friedman-sanchez.net,347-160-1415,"52100 Joshua Avenue, Marquezfort, ID 75330",Alvarezview,80704,Guernsey,1999-06-01,Educació
17,Elizabeth,Baldwin,brittany67@watson.net,+1-632-666-3223,"1390 Evelyn Isle Suite 806, Hickmanland, OR 80491",West Emilyside,79231,Russian Federation,1974-03-01,Retail
18,Helen,Foley,qsmall@hotmail.com,792-494-8774,"226 Catherine Village, Houstonfurt, PA 40540",Seanmouth,65047,Saint Lucia,1984-08-07,Educació
19,Heather,Long,lawrencebradley@thomas.biz,361.231.6492x970,"Unit 5020 Box 7444, DPO AP 91799",Johnsonland,83601,Nepal,1960-06-01,Turisme
20,Peter,Schroeder,masonjonathan@rivera-dickerson.com,867-663-4726,"USCGC Waters, FPO AE 54665",Lake Gregory,14323,Chad,1966-09-12,Turisme
21,Nicole,Serrano,vvelasquez@gmail.com,001-110-941-3933x2381,"9544 Dixon Heights, Cartermouth, AK 97577",Paceport,74613,American Samoa,1992-07-27,Retail
22,David,Robinson,michelle64@ingram.net,503-595-7196,"PSC 2916, Box 1664, APO AP 64448",East Kimberlyview,95096,Barbados,1969-01-22,Turisme
23,Anthony,Bell,tamarawhite@shannon.com,001-557-173-1680x54440,"988 Cruz Passage Apt. 815, Alanburgh, ME 87146",Hayesborough,07578,Belarus,2001-01-23,Salut
24,Kathleen,Dyer,martinjoel@hotmail.com,805.181.0614,"49887 Tucker Station, Berrymouth, NH 41753",Lawrencestad,09932,Barbados,1957-12-21,Retail
25,Elizabeth,Taylor,thompsonpatrick@hotmail.com,267.675.0655x288,"129 Ashley Plains Suite 610, Jasonborough, GA 44358",Nataliefort,47270,Seychelles,1966-05-12,Salut
26,Taylor,Cruz,fergusonmelanie@price.biz,360-150-9632x643,"508 Matthew Pike, West Kiarachester, VT 15177",South Gregory,01883,Turkey,2007-01-21,Turisme
27,Trevor,Williamson,jamie42@yahoo.com,402-974-3042,"178 John Union Suite 696, Lake Cheyennebury, SC 42407",East Carolineville,60543,Cuba,1945-11-20,Educació
28,James,Oliver,elizabeth69@yahoo.com,946-117-9721x175,"6029 Amy Prairie, North Michele, MN 70139",Suarezport,09032,Colombia,1997-09-12,Retail
29,Richard,Hampton,lsparks@gmail.com,589-154-0062x48546,"1656 Mallory Vista, Lake Meganberg, IN 14094",Port Keith,17887,Mayotte,1967-04-05,Tecnologia
30,Thomas,Garcia,ericadams@gmail.com,407.013.8948,"Unit 2743 Box 9535, DPO AP 20350",East Johnshire,69413,Egypt,1954-01-19,Turisme
31,Elizabeth,King,davidcameron@yahoo.com,+1-716-166-3661x36462,"472 Davis Mission, Williamshire, FL 77430",East Christopherbury,81214,Austria,1987-04-03,Salut
32,Michele,Conway,lsmith@oneal-gray.com,5148134654,"101 Douglas Glens Apt. 517, Armstrongtown, MI 17720",Wallerfurt,64714,Norfolk Island,1995-01-31,Retail
33,Angela,Powers,philipwade@hotmail.com,(173)463-8778,"91437 Carrie Run, Lewisland, SD 06335",Lake Kristen,86280,Western Sahara,1964-01-19,Finance
34,Stephanie,Martinez,cjohnson@jackson.info,(619)338-7172,"435 Dillon Oval, Port Michaelborough, NH 22853",Josephview,80527,Hong Kong,1990-09-03,Automoció
35,Amy,Navarro,joshua60@yahoo.com,+1-909-934-2536x05274,"9951 Guzman Stravenue, Lake Jennifer, WY 35939",Jeremiahstad,93882,Fiji,1963-12-13,Turisme
36,Matthew,Butler,shepherdchelsea@york.com,+1-001-306-6107x98433,"72174 Hall Lodge, Hallmouth, WY 33938",South Johnside,92621,Puerto Rico,1952-09-15,Salut
37,Andrea,Jones,susanmeyer@rubio.com,153.040.4177x26300,"41964 Williams Hill Apt. 011, East Christopher, WA 51592",New John,14049,Saint Kitts and Nevis,1966-01-20,Automoció
38,Rose,Hodge,holly20@gmail.com,400-234-6743,"3530 Yang Lodge, Butlertown, NV 31966",Catherineburgh,84674,Belarus,1960-05-09,Tecnologia
39,Raymond,Miller,barbara67@hotmail.com,581-348-4252x518,"99882 Fitzgerald Views, East Angelhaven, IA 29007",Michaelhaven,78644,Yemen,1980-11-25,Retail
40,Brian,Stewart,jessicajenkins@richards-lin.info,(873)205-4433,"477 Bell Plain Suite 161, North Davidberg, AK 74588",South Elizabethshire,52543,Grenada,2007-03-02,Educació
41,Sherry,Washington,cgreen@yahoo.com,3990315333,"26681 Smith Forge Apt. 206, South Valeriefurt, OK 04136",Donnamouth,86668,Denmark,1963-03-31,Turisme
42,Mary,Howell,andersonmark@gmail.com,(807)071-7352x024,"03160 Jenna Parkway, South James, AR 02286",New Debbiefurt,57084,Ghana,1998-11-19,Salut
43,Billy,Blackburn,ucarter@kelly.biz,652.279.9370x093,"45039 Samantha Street Suite 745, West Alejandro, UT 27161",Robertostad,09623,Angola,1963-05-20,Finance
44,Jacqueline,Brandt,cmurphy@hotmail.com,(375)731-3641,"7855 Stephen Mountain Suite 924, West Andrew, VT 41189",South Renee,49970,Senegal,1990-11-10,Tecnologia
45,Elizabeth,Rodriguez,singhleslie@yahoo.com,(233)765-0214x86380,"289 Jeremiah Row, Kingborough, LA 23329",Stevenmouth,26170,Nepal,1975-12-03,Salut
46,Amy,Martin,lharris@taylor-warner.com,146-649-8957,"20925 Brittany Streets, North Mary, MN 86409",West Benjamin,32012,Azerbaijan,1993-03-04,Retail
47,Kenneth,Nelson,brittany23@sullivan-jackson.com,4347309905,"279 Mckinney Fork, Parkertown, DC 83721",Port Ashlee,33246,Jordan,1966-04-19,Tecnologia
48,Melanie,Frank,browndenise@yahoo.com,798-022-4268x8675,"Unit 0332 Box 6857, DPO AE 81662",West Jonathan,60899,Maldives,1987-09-29,Automoció
49,Audrey,Gates,chayden@richardson-grant.com,+1-784-832-3254x0443,"428 Taylor Burgs, Port Jennifershire, IL 34531",West Kevin,21329,Algeria,1963-12-04,Educació
50,Richard,Brown,briannahiggins@gmail.com,565.283.7802x57834,"41651 Craig Springs Suite 927, Finleytown, DC 32142",Lake Michaelview,40219,Romania,2000-11-20,Turisme
51,Jason,Myers,hamptonstephanie@hotmail.com,(390)071-3466,"PSC 1429, Box 1033, APO AP 29106",East Rebeccastad,90277,Austria,1969-01-03,Finance
52,Lauren,Ortega,kelseybowman@love.com,(852)255-4417x800,"9505 Daniel Ville Suite 019, Jonesshire, ME 54606",New Douglas,35820,Samoa,1968-02-06,Salut
53,April,Fisher,gibsonjohn@gmail.com,(938)363-0213x6625,"USS Reyes, FPO AE 87625",Matthewberg,49612,Antigua and Barbuda,1989-04-15,Finance
54,Corey,Jones,melvin11@hotmail.com,(882)818-7734x43107,"23477 Smith Lock, New Christopher, MA 73686",New Pamela,50134,Mozambique,1969-04-02,Automoció
55,Olivia,Miller,lovechristopher@hotmail.com,+1-633-458-7734,"859 Patterson Motorway Suite 048, Odommouth, ID 75818",Charlesville,67224,Fiji,1985-08-06,Salut
56,Wendy,Cook,lawrencewilliams@yang.com,001-124-637-0698,"60450 Cameron Mountain Apt. 580, East Dylan, AZ 10571",New Meghanmouth,48013,Malta,1982-05-04,Finance
57,Joseph,Knapp,matthewalexander@jackson-martin.net,039.705.3121x2662,"78389 Joshua Inlet, South Robert, TN 27666",Lake Victoria,78580,Dominican Republic,1979-08-26,Turisme
58,Russell,Fuentes,vrodriguez@mitchell.com,001-108-679-8265,"044 Laura Square, South Shawnbury, CT 88248",West Douglasmouth,73555,Bahamas,1958-03-31,Salut
